"fare_id","route_id","origin_id","destination_id","contains_id"
"1_2011_1_240_20250315","1_2011_1_20250315","100001_2","100766_1",
"1_2111_1_240_20250315","1_2111_1_20250315","100001_2","100766_1",
"1_2211_1_240_20250315","1_2211_1_20250315","100001_2","100766_1",
"1_2161_1_480_20250315","1_2161_1_20250315","100001_2","100766_1",
"1_1071_1_240_20250315","1_1071_1_20250315","100001_2","100767_1",
"1_1081_1_240_20250315","1_1081_1_20250315","100001_2","100767_1",
"1_1091_1_240_20250315","1_1091_1_20250315","100001_2","100767_1",
"1_1111_1_240_20250315","1_1111_1_20250315","100001_2","100767_1",
"1_2011_1_240_20250315","1_2011_1_20250315","100001_2","100767_1",
"1_2111_1_240_20250315","1_2111_1_20250315","100001_2","100767_1",
"1_2211_1_240_20250315","1_2211_1_20250315","100001_2","100767_1",
"1_2161_1_480_20250315","1_2161_1_20250315","100001_2","100767_1",
"1_1071_1_290_20250315","1_1071_1_20250315","100001_2","100768_1",
"1_1081_1_290_20250315","1_1081_1_20250315","100001_2","100768_1",
"1_1091_1_290_20250315","1_1091_1_20250315","100001_2","100768_1",
"1_1111_1_290_20250315","1_1111_1_20250315","100001_2","100768_1",
"1_2011_1_290_20250315","1_2011_1_20250315","100001_2","100768_1",
"1_2111_1_290_20250315","1_2111_1_20250315","100001_2","100768_1",
"1_2211_1_290_20250315","1_2211_1_20250315","100001_2","100768_1",
"1_2161_1_580_20250315","1_2161_1_20250315","100001_2","100768_1",
"1_1091_1_290_20250315","1_1091_1_20250315","100001_2","100769_1",
"1_1111_1_290_20250315","1_1111_1_20250315","100001_2","100769_1",
"1_2011_1_290_20250315","1_2011_1_20250315","100001_2","100769_1",
"1_2111_1_290_20250315","1_2111_1_20250315","100001_2","100769_1",
"1_2211_1_290_20250315","1_2211_1_20250315","100001_2","100769_1",
"1_2161_1_580_20250315","1_2161_1_20250315","100001_2","100769_1",
"1_1091_1_290_20250315","1_1091_1_20250315","100001_2","100770_1",
"1_1111_1_290_20250315","1_1111_1_20250315","100001_2","100770_1",
"1_2011_1_290_20250315","1_2011_1_20250315","100001_2","100770_1",
"1_2111_1_290_20250315","1_2111_1_20250315","100001_2","100770_1",
"1_2211_1_290_20250315","1_2211_1_20250315","100001_2","100770_1",
"1_2161_1_580_20250315","1_2161_1_20250315","100001_2","100770_1",
"1_1091_1_320_20250315","1_1091_1_20250315","100001_2","100771_1",
"1_1111_1_320_20250315","1_1111_1_20250315","100001_2","100771_1",
"1_2011_1_320_20250315","1_2011_1_20250315","100001_2","100771_1",
"1_2111_1_320_20250315","1_2111_1_20250315","100001_2","100771_1",
"1_2211_1_320_20250315","1_2211_1_20250315","100001_2","100771_1",
"1_2161_1_640_20250315","1_2161_1_20250315","100001_2","100771_1",
"1_1091_1_350_20250315","1_1091_1_20250315","100001_2","100772_1",
"1_1111_1_350_20250315","1_1111_1_20250315","100001_2","100772_1",
"1_2011_1_350_20250315","1_2011_1_20250315","100001_2","100772_1",
"1_2111_1_350_20250315","1_2111_1_20250315","100001_2","100772_1",
"1_2211_1_350_20250315","1_2211_1_20250315","100001_2","100772_1",
"1_2161_1_700_20250315","1_2161_1_20250315","100001_2","100772_1",
"1_1071_1_180_20250315","1_1071_1_20250315","100001_2","100886_1",
"1_1081_1_180_20250315","1_1081_1_20250315","100001_2","100886_1",
"1_1091_1_180_20250315","1_1091_1_20250315","100001_2","100886_1",
"1_1111_1_180_20250315","1_1111_1_20250315","100001_2","100886_1",
"1_2011_1_180_20250315","1_2011_1_20250315","100001_2","100886_1",
"1_2111_1_180_20250315","1_2111_1_20250315","100001_2","100886_1",
"1_2211_1_180_20250315","1_2211_1_20250315","100001_2","100886_1",
"1_2161_1_360_20250315","1_2161_1_20250315","100001_2","100886_1",
"1_1071_1_180_20250315","1_1071_1_20250315","100001_2","100887_1",
"1_1081_1_180_20250315","1_1081_1_20250315","100001_2","100887_1",
"1_1091_1_180_20250315","1_1091_1_20250315","100001_2","100887_1",
"1_1111_1_180_20250315","1_1111_1_20250315","100001_2","100887_1",
"1_2011_1_180_20250315","1_2011_1_20250315","100001_2","100887_1",
"1_2111_1_180_20250315","1_2111_1_20250315","100001_2","100887_1",
"1_2211_1_180_20250315","1_2211_1_20250315","100001_2","100887_1",
"1_2161_1_360_20250315","1_2161_1_20250315","100001_2","100887_1",
"1_1071_1_190_20250315","1_1071_1_20250315","100001_2","100888_1",
"1_1081_1_190_20250315","1_1081_1_20250315","100001_2","100888_1",
"1_1091_1_190_20250315","1_1091_1_20250315","100001_2","100888_1",
"1_1111_1_190_20250315","1_1111_1_20250315","100001_2","100888_1",
"1_2011_1_190_20250315","1_2011_1_20250315","100001_2","100888_1",
"1_2111_1_190_20250315","1_2111_1_20250315","100001_2","100888_1",
"1_2211_1_190_20250315","1_2211_1_20250315","100001_2","100888_1",
"1_2161_1_380_20250315","1_2161_1_20250315","100001_2","100888_1",
"1_1071_1_210_20250315","1_1071_1_20250315","100001_2","100889_1",
"1_1081_1_210_20250315","1_1081_1_20250315","100001_2","100889_1",
