"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"60_9542_2_20240619","20240619","アンビー熊本",,"辻久保"
"10021_1772_2_20240624","20240624","合志市役所（ヴィーブル）",,"熊本駅前"
"2_8101_1_20240624","20240624","再春医療センター",,"菊池温泉・市民広場前"
"10021_1771_1_20240624","20240624","熊本駅前",,"合志市役所（ヴィーブル）"
"23_9151_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"8_2741_1_20240619","20240619","桜町バスターミナル",,"立石（熊本）"
"2_8081_1_20240624","20240624","御代志",,"菊池温泉・市民広場前"
"10021_2512_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10023_3081_1_20240619","20240619","桜町バスターミナル",,"光の森駅"
"2_8101_1_20240619","20240619","再春医療センター",,"菊池温泉・市民広場前"
"10021_1771_1_20240619","20240619","熊本駅前",,"合志市役所（ヴィーブル）"
"23_9151_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"8_2741_1_20240624","20240624","桜町バスターミナル",,"立石（熊本）"
"2_8081_1_20240619","20240619","御代志",,"菊池温泉・市民広場前"
"10021_2512_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10023_3081_1_20240624","20240624","桜町バスターミナル",,"光の森駅"
"1_2161_1_20240619","20240619","桜町バスターミナル",,"菊池プラザ"
"23_9251_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"10020_3561_1_20240624","20240624","桜町バスターミナル",,"下群"
"10021_3772_2_20240624","20240624","合志市役所（ヴィーブル）",,"桜町バスターミナル"
"10003_5212_2_20240619","20240619","県会議事堂前",,"桜町バスターミナル"
"10020_3881_1_20240619","20240619","熊本駅前",,"楠団地（楡木経由）"
"10023_3082_2_20240624","20240624","光の森駅",,"桜町バスターミナル"
"10020_2361_1_20240624","20240624","桜町バスターミナル",,"杉並台団地"
"10020_3531_1_20240619","20240619","桜町バスターミナル",,"下群"
"23_9241_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"1_8031_1_20240624","20240624","須屋駅前",,"菊池温泉・市民広場前"
"60_9542_2_20240624","20240624","アンビー熊本",,"辻久保"
"10021_1772_2_20240619","20240619","合志市役所（ヴィーブル）",,"熊本駅前"
"1_8041_1_20240619","20240619","須屋西",,"菊池温泉・市民広場前"
"10020_5421_1_20240619","20240619","県会議事堂前",,"下群"
"10023_3062_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"8_2722_2_20240624","20240624","植木駐車場",,"桜町バスターミナル"
"10021_3511_1_20240619","20240619","桜町バスターミナル",,"下群"
"10020_2332_2_20240624","20240624","杉並台団地",,"桜町バスターミナル"
"1_2151_1_20240619","20240619","桜町バスターミナル",,"菊池プラザ"
"10021_1511_1_20240624","20240624","熊本駅前",,"武蔵ヶ丘車庫前"
"10021_3411_1_20240619","20240619","熊本駅前",,"下群"
"2_8102_2_20240624","20240624","菊池温泉・市民広場前",,"再春医療センター"
"10020_2531_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"7_2562_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10021_2312_2_20240624","20240624","杉並台団地",,"桜町バスターミナル"
"8_2771_1_20240619","20240619","桜町バスターミナル",,"植木駐車場"
"10020_2541_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_2601_1_20240619","20240619","桜町バスターミナル",,"光の森駅"
"1_8061_1_20240624","20240624","黒石・ポリテクセンター熊本前",,"菊池温泉・市民広場前"
"60_9551_1_20240619","20240619","辻久保",,"アンビー熊本"
"1_2232_2_20240619","20240619","辻久保",,"桜町バスターミナル"
"1_2211_1_20240624","20240624","桜町バスターミナル",,"辻久保"
"1_1091_1_20240619","20240619","蓮台寺入口",,"菊池温泉・市民広場前"
"1_1112_2_20240619","20240619","菊池プラザ",,"熊本駅前"
"10_2901_1_20240619","20240619","桜町バスターミナル",,"高平南公園"
"10020_2591_1_20240619","20240619","桜町バスターミナル",,"光の森駅"
"1_2212_2_20240624","20240624","辻久保",,"桜町バスターミナル"
"10_2902_2_20240619","20240619","高平南公園",,"桜町バスターミナル"
"10021_2511_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_3812_2_20240619","20240619","楠団地（麻生田小経由）",,"桜町バスターミナル"
"10020_1361_1_20240624","20240624","蓮台寺入口",,"杉並台団地"
"10020_2341_1_20240619","20240619","桜町バスターミナル",,"杉並台団地"
"10020_3841_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10023_3061_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"23_9121_1_20240619","20240619","原水駅北口",,"原水駅（終点）"
"8_2742_2_20240619","20240619","立石（熊本）",,"桜町バスターミナル"
"60_9522_2_20240624","20240624","アンビー熊本",,"御代志"
"10023_3002_2_20240619","20240619","楠団地（二里木経由）",,"熊本駅前"
"1_1072_2_20240624","20240624","菊池プラザ",,"熊本駅前"
"60_9501_1_20240619","20240619","御代志",,"アンビー熊本"
"1_2011_1_20240619","20240619","桜町バスターミナル",,"菊池温泉・市民広場前"
"8_2751_1_20240619","20240619","桜町バスターミナル",,"南原（熊本市北区）"
"12_5712_2_20240619","20240619","藤崎宮前駅",,"県会議事堂前"
"10020_2602_2_20240624","20240624","光の森駅",,"桜町バスターミナル"
"10020_3441_1_20240624","20240624","熊本駅前",,"下群"
"60_9531_1_20240624","20240624","辻久保",,"光の森駅"
"7_2561_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_2592_2_20240624","20240624","光の森駅",,"桜町バスターミナル"
"10020_1521_1_20240619","20240619","熊本駅前",,"武蔵ヶ丘車庫前"
"10021_3771_1_20240624","20240624","桜町バスターミナル",,"合志市役所（ヴィーブル）"
"10023_3031_1_20240619","20240619","桜町バスターミナル",,"楠団地（二里木経由）"
"10020_2542_2_20240619","20240619","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10020_1592_2_20240624","20240624","光の森駅",,"熊本駅前"
"8_2721_1_20240619","20240619","桜町バスターミナル",,"植木駐車場"
"60_9512_2_20240619","20240619","アンビー熊本",,"御代志"
"7_2561_1_20240624","20240624","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10020_2592_2_20240619","20240619","光の森駅",,"桜町バスターミナル"
"10020_1521_1_20240624","20240624","熊本駅前",,"武蔵ヶ丘車庫前"
"10021_3771_1_20240619","20240619","桜町バスターミナル",,"合志市役所（ヴィーブル）"
"10023_3031_1_20240624","20240624","桜町バスターミナル",,"楠団地（二里木経由）"
"10020_2542_2_20240624","20240624","武蔵ヶ丘車庫前",,"桜町バスターミナル"
"10020_1592_2_20240619","20240619","光の森駅",,"熊本駅前"
"8_2721_1_20240624","20240624","桜町バスターミナル",,"植木駐車場"
"60_9512_2_20240624","20240624","アンビー熊本",,"御代志"
"10020_2602_2_20240619","20240619","光の森駅",,"桜町バスターミナル"
"10020_3441_1_20240619","20240619","熊本駅前",,"下群"
"60_9531_1_20240619","20240619","辻久保",,"光の森駅"
"10020_2341_1_20240624","20240624","桜町バスターミナル",,"杉並台団地"
"10020_3841_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"10023_3061_1_20240619","20240619","桜町バスターミナル",,"武蔵ヶ丘車庫前"
"23_9121_1_20240624","20240624","原水駅北口",,"原水駅（終点）"
"8_2742_2_20240624","20240624","立石（熊本）",,"桜町バスターミナル"
"60_9522_2_20240619","20240619","アンビー熊本",,"御代志"
"10023_3002_2_20240624","20240624","楠団地（二里木経由）",,"熊本駅前"
"1_1072_2_20240619","20240619","菊池プラザ",,"熊本駅前"
"60_9501_1_20240624","20240624","御代志",,"アンビー熊本"
"1_2011_1_20240624","20240624","桜町バスターミナル",,"菊池温泉・市民広場前"
"8_2751_1_20240624","20240624","桜町バスターミナル",,"南原（熊本市北区）"
"12_5712_2_20240624","20240624","藤崎宮前駅",,"県会議事堂前"
"1_1091_1_20240624","20240624","蓮台寺入口",,"菊池温泉・市民広場前"
